Model,Substation,MAE,MSE,RMSE,R2
SARIMA,AJAHUEL,974.6365857581294,1185023.7317902185,1088.587953171547,-133.64781886768742
XGBoost,AJAHUEL,55.80253893039353,7442.568957598421,86.270324895635,0.15434125914164487
LSTM,AJAHUEL,11.666412467784287,444.4687122795105,21.08242662217778,0.9494284226489083
SARIMA,BUIN,0.5134140133020084,0.6136899301926906,0.7833836417699125,-0.3882910572429248
XGBoost,BUIN,4.869068326970952,41.03760021592004,6.406059648170632,-91.83537269803924
LSTM,BUIN,0.3316057293165277,0.23092292890209382,0.480544408876114,0.478980258917744
SARIMA,CHENA,69.92596146900075,11112.229600256072,105.41456066528984,0.02358518985516267
XGBoost,CHENA,68.71910828822318,12925.920855073173,113.69221985286931,-0.1357811178921846
LSTM,CHENA,11.095198551221745,354.1879316347124,18.819881286413906,0.968876295633842
SARIMA,CNAVIA,164.21309004393007,48024.44716293876,219.144808660709,0.11329732156090411
XGBoost,CNAVIA,169.01515806338546,60083.414593079615,245.1191844655975,-0.10935425177709068
LSTM,CNAVIA,24.010017674753676,1399.7003337799647,37.41256919512431,0.9741864488126916
SARIMA,ELSALTO,203.4184716553469,82387.95438956814,287.0330196851368,-0.2897190149992468
XGBoost,ELSALTO,167.20911517020315,62968.19471805749,250.93464232356897,0.014282140274419097
LSTM,ELSALTO,26.78467125388924,2245.413868884384,47.385798177137254,0.9648698237113538
SARIMA,FLORIDA,39.411718030478305,2213.3309659945503,47.046051545209934,-1.4338149597734806
XGBoost,FLORIDA,18.96130612097859,1130.0203203059702,33.61577487290707,-0.24258884128197877
LSTM,FLORIDA,2.6704933185678628,41.052510622069086,6.40722331607609,0.9549591587945789
SARIMA,LOSALME,51.56014944481615,5186.6857197109075,72.01864841630193,0.08360270803943681
XGBoost,LOSALME,58.55836135385718,7309.746113337953,85.49705324359404,-0.29150519333095737
LSTM,LOSALME,8.5951119833067,225.63267642643237,15.021074409856054,0.9601666611881863
